"","VDC_Jur","NAME_1","NAME_2","NAME_3","Frst_size","CF_area","CF","PropCommFrst","NM_2015","Ppl2022","Ppl2015","RoadDensity","Deprvtn","Slope2022","PrecipAnom","MedGapSize_M","MedGapDist_M","TotalGapSize_ha","NGaps","PreGapArea_Ha","PreGapN","MedLossSize_M","MedLossDist_M","TotaLossSize_Ha","NLosses"
"469","Bardiya_Dhodhari","Mid-Western","Bheri","Bardiya",3218.43518002,1795.76,TRUE,0.557960592510315,-4366.60852050781,13548,12089,2.97455924346224,73.1699066162109,165,1.458203422,37.1912169903517,29.3884581310862,17.4992207427865,560,17.4778453110149,559,83.6516661718488,17.2036437714002,0.0669259731326252,7
"470","Bardiya_Gola","Mid-Western","Bheri","Bardiya",19.879624839,0,FALSE,0,-1849.65964508057,7409,8189,3.75048469256963,74.8119812011719,168,1.451063475,27.8336797729135,18.7343513422275,1.70248821785431,95,1.70248821785431,95,NA,NA,NA,NA
"471","Bardiya_Gulariya","Mid-Western","Bheri","Bardiya",868.82022873,807.84,TRUE,0.929812604824892,1661.04089355469,61831,66954,4.29319625666123,71.971809387207,145,1.427804776,27.9103294778615,16.4600632027529,10.5035619297592,741,10.5035619297592,741,NA,NA,NA,NA
"472","Bardiya_Jamuni","Mid-Western","Bheri","Bardiya",191.293959512,87.28,TRUE,0.456261139780134,962.23828125,12707,13815,4.57693139836041,72.9584121704102,143,1.291967369,18.638498403132,15.5069685050973,2.84738609488197,289,3.20709422514979,310,83.847802426666,95.3425448163745,0.0083847802426666,1
"473","Bardiya_Kalika","Mid-Western","Bheri","Bardiya",612.116726337,572.96,TRUE,0.936030621853254,-2904.69189453125,13718,16084,4.19960370444343,72.3187065124512,149,1.365547278,27.9257995150983,19.4493982775819,6.37410269376449,307,6.37410269376449,307,NA,NA,NA,NA
"474","Bardiya_KhairiChandanpur","Mid-Western","Bheri","Bardiya",69.890915417,53.5,TRUE,0.765478598767743,-3403.16534423828,9370,8670,3.29788939257027,69.5879173278809,145,1.476177312,27.8829589821398,26.4386009769226,3.19810164696202,187,3.19810164696202,187,NA,NA,NA,NA
"475","Bardiya_Magaragadi","Mid-Western","Bheri","Bardiya",735.486382496,906.96,TRUE,1,-5747.97064208984,17105,22753,3.93709826962073,70.3081588745117,166,1.457358129,18.5943490900099,20.6011289019342,9.22060231261123,751,9.22060231261123,751,83.6948392428458,8.6049119555476,0.041846655254066,3
"476","Bardiya_Mahamadpur","Mid-Western","Bheri","Bardiya",102.599250069,883.98,TRUE,1,-3883.06469726562,14821,13138,3.76003673040931,75.9098739624023,144,1.37927115,27.9257329013199,24.67176073277,1.02940224815533,56,1.02940224815533,56,NA,NA,NA,NA
"477","Bardiya_Manau","Mid-Western","Bheri","Bardiya",0.557693028,0,FALSE,0,-1970.75317382812,6947,7640,3.00049288588754,74.2984848022461,152,1.500125062,9.28994560707361,6.52846948434253,0.00185798912141472,2,0.00185798912141472,2,NA,NA,NA,NA
"478","Bardiya_ManpurMainapokhar","Mid-Western","Bheri","Bardiya",309.691483297,216.25,TRUE,0.698275579611636,-2338.08032226562,11448,10496,3.46369673432233,74.2712173461914,149,1.337974819,18.6214271187782,11.8137201117955,0.523149652132392,69,0.523149652132392,69,83.7569547705352,19.7810741806729,0.00837569547705352,1
"479","Bardiya_Manpurtapara","Mid-Western","Bheri","Bardiya",2.975161274,15.22,TRUE,1,-5555.80450439453,11628,11172,3.56299399980257,67.5930709838867,145,1.480108613,111.487176918425,13.0421127045987,0.703311371063441,6,0.703311371063441,6,NA,NA,NA,NA
"480","Bardiya_Motipur","Mid-Western","Bheri","Bardiya",1059.17317921,813.46,TRUE,0.768014160447993,-1552.58666992188,20550,25129,3.88106264401268,73.4031982421875,163,1.426350458,27.914570953697,19.3377836123433,10.4065676633978,367,9.90144493390024,364,83.7231493592262,25.9761772699257,0.0837296638712287,7
"481","Bardiya_Nayagaun","Mid-Western","Bheri","Bardiya",5.912704019,0,FALSE,0,-4123.39233398438,5169,6749,3.32788274887568,72.3064575195312,155,1.510224224,27.8598182806745,13.0558720861473,0.206162034014054,26,0.206162034014054,26,NA,NA,NA,NA
"482","Bardiya_Neulapur","Mid-Western","Bheri","Bardiya",874.92686857,129.5,TRUE,0.148012370692945,-3517.46404361725,16773,17756,3.43007082029806,65.8094139099121,174,1.435707911,27.8470692224801,27.1133435321959,12.7440190084944,799,12.7421618634462,798,83.571810349822,8.59351910435897,0.292467800518498,24
"483","Bardiya_Padanaha","Mid-Western","Bheri","Bardiya",687.14163574,717.56,TRUE,1,-6843.62890625,12024,10233,3.38618990020783,72.8291320800781,152,1.449283165,27.9032475277781,19.860274396881,11.5110430210663,439,11.1000025130877,436,83.7111268304288,9.72478788008748,0.0334798957202584,3
"484","Bardiya_PasupatiNagar","Mid-Western","Bheri","Bardiya",0.712637719,0,FALSE,0,-1970.75317382812,8007,8547,3.83914205527513,73.1799697875977,159,1.491659322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"485","Bardiya_Patabhar","Mid-Western","Bheri","Bardiya",186.602773364,0,FALSE,0,-942.250366210938,17986,17732,4.25874941540751,73.7186813354492,170,1.486936772,27.8346315035596,17.1673508815347,8.24215657552816,628,8.5828000586886,632,NA,NA,NA,NA
"486","Bardiya_Rajapur","Mid-Western","Bheri","Bardiya",302.414172112,292.85,TRUE,0.968373928889623,4071.42169189453,14429,15200,4.19467106052803,69.6603698730469,146,1.473183107,18.581663897261,13.7985088830062,4.2910504735807,302,4.29476523628961,303,NA,NA,NA,NA
"487","Bardiya_RoyalBardiyaNation","Mid-Western","Bheri","Bardiya",81840.6781099,0,FALSE,0,-1195.20206028223,5861,21,0.273219731898585,80.3596000671387,328,1.493100476,27.8610861282796,67.8396888151697,0.415030185879022,59,0.577390538471006,72,83.68476363644,0,0.0584403629068285,3
"488","Bardiya_Sanashree","Mid-Western","Bheri","Bardiya",896.465951483,1225.53,TRUE,1,-3876.9990234375,18767,21632,4.99149703816007,63.2649211883545,156,1.440335886,37.202786648646,26.8669976964647,2.95726094007716,125,2.95726094007716,125,NA,NA,NA,NA
"489","Bardiya_Sivapur","Mid-Western","Bheri","Bardiya",372.871084237,0,FALSE,0,-3125.49408721924,8810,9261,2.88374628281689,71.8955955505371,176,1.418453905,37.127817504108,15.7181686441339,7.80689604098666,325,7.35195949613322,316,167.092825807631,9.7250450591807,1.22002889493257,31
"490","Bardiya_Sorhawa","Mid-Western","Bheri","Bardiya",326.120999842,375.95,TRUE,1,-2234.62426757812,17475,17217,3.55897843148383,76.4621810913086,150,1.371105767,27.9244320914149,17.3463494793771,3.01363084276766,241,3.02387024853863,245,NA,NA,NA,NA
"491","Bardiya_Suryapatawa","Mid-Western","Bheri","Bardiya",893.14731436,1900.03,TRUE,1,-2408.4072265625,10667,11954,3.72755626888299,73.2730178833008,151,1.481277818,27.8808233905584,19.4731226755158,11.1482011831727,678,11.1482011831727,678,NA,NA,NA,NA
"492","Bardiya_Taratal","Mid-Western","Bheri","Bardiya",0,0,FALSE,NA,1071.37585449219,10511,10132,6.81160641190185,61.6552696228027,153,1.440843061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"493","Bardiya_Thakudwara","Mid-Western","Bheri","Bardiya",576.20930367,132.5,TRUE,0.229951163849801,-3208.88427734375,10905,10564,2.93970030383549,72.8918762207031,165,1.466971249,27.8645009752363,35.4407260524541,15.808506441115,1165,15.808506441115,1165,167.186077859253,8.59414019691994,0.0585071699075401,3
"494","Bhaktapur_Bageswari","Central","Bagmati","Bhaktapur",503.939463335,118.32,TRUE,0.234790105972203,-4021.52734375,5675,6472,5.43769508091414,54.1738739013672,1634,1.857173343,28.0545606724918,23.9632061317877,4.08924054512083,116,4.15937562989406,119,84.1669271662831,9.72394810400213,0.134664242290705,11
"495","Bhaktapur_Balkot","Central","Bagmati","Bhaktapur",0,0,FALSE,NA,225995.357421875,19380,22066,15.8714821552915,30.2825183868408,1315,1.796672598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"496","Bhaktapur_Bhaktapur","Central","Bagmati","Bhaktapur",0,0,FALSE,NA,229121.450195312,95489,98243,16.7347651736028,20.6239080429077,1327,1.802874755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"497","Bhaktapur_Changunarayan","Central","Bagmati","Bhaktapur",216.122019606,51.51,TRUE,0.238337583990308,238209.63671875,5886,7464,8.52034743980322,48.9344100952148,1385,1.820911003,56.1005891663954,13.052700864993,7.0972282365717,180,6.44183006841168,177,84.1474492028356,9.72396687755715,0.790967661305144,51
"498","Bhaktapur_Chhaling","Central","Bagmati","Bhaktapur",305.138425631,238.1,TRUE,0.780301594293245,5475.18359375,9903,9769,7.482673823351,47.5573558807373,1384,1.838369404,102.852684424259,19.2549007511491,9.76519551290628,166,10.1484832042003,161,84.1522208787501,19.4479429308245,0.19354791447036,15
"499","Bhaktapur_Chitapol","Central","Bagmati","Bhaktapur",217.52246614,97.48,TRUE,0.448137618747209,-9088.1865234375,7649,6753,7.29746378701008,46.4014511108398,1416,1.891997647,163.720972440206,37.3749904759362,12.4994248595651,194,9.50195961078238,174,84.1987575441599,9.72389759258921,1.60817531931438,93
"500","Bhaktapur_Dadhikot","Central","Bagmati","Bhaktapur",187.814670468,63.13,TRUE,0.336129226980467,225995.357421875,15294,10994,8.64534805226918,41.0827083587646,1372,1.8741166,102.91947550606,42.5520074174105,5.16077978073582,114,5.23282400478311,119,84.2020637057722,39.8477481917896,0.0589415701903403,7
"501","Bhaktapur_Duwakot","Central","Bagmati","Bhaktapur",12.873786842,3.04,TRUE,0.236138755232623,238209.63671875,14689,12572,9.62109248184593,38.2400550842285,1344,1.824862744,18.700763490051,10.8457708618307,0.151480965997092,23,0.151480965997092,23,84.1565277725458,8.65427842784466,0.067325096264109,7
"502","Bhaktapur_Gundu","Central","Bagmati","Bhaktapur",521.1280603,214.93,TRUE,0.412432214600516,-15827.2822265625,8472,6837,5.85538671922778,53.1588878631592,1517,1.8999233,84.2125096162781,29.9639053712689,11.1949342286088,230,10.2331290404756,227,84.2007413096726,27.7398460808687,0.378902150207385,27
"503","Bhaktapur_Jhaukhel","Central","Bagmati","Bhaktapur",0,0,FALSE,NA,5475.18359375,10723,9279,7.54987296005262,41.8823127746582,1344,1.808877369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"504","Bhaktapur_Kautunje","Central","Bagmati","Bhaktapur",57.925006551,15.41,TRUE,0.26603363413403,216907.170898438,14250,23431,14.5995529504472,34.2166938781738,1347,1.809510992,168.38123283349,22.4206412110402,1.33679043657985,23,0.674464205504209,19,126.286693934351,4.32906863209994,0.336763950750604,18
"505","Bhaktapur_MadhyapurThimi","Central","Bagmati","Bhaktapur",21.616351952,29.77,TRUE,1,232734.453125,96992,99791,17.2921595806025,23.2701416015625,1319,1.820441242,149.618570193648,18.4859934572065,0.405848139703088,13,0.405848139703088,13,NA,NA,NA,NA
"506","Bhaktapur_Nagarkot","Central","Bagmati","Bhaktapur",679.41518534,149.96,TRUE,0.220719235065309,-4021.52734375,4551,5493,6.29737785593491,58.0483741760254,1690,1.693126389,65.4488634290174,26.3156183512192,20.6293279591452,396,21.2352053860161,401,84.1546725872904,25.9978438972745,0.656367225920409,32
"507","Bhaktapur_Nankhel","Central","Bagmati","Bhaktapur",427.806235978,291.25,TRUE,0.680798865248373,-9088.1865234375,6766,6621,6.9248811485829,55.0981483459473,1549,1.865046685,74.8467661542818,32.7127162785459,9.22340030673221,226,8.88752033225931,226,84.2095337901264,15.1694244408845,1.08622145473585,56
"508","Bhaktapur_Sipadol","Central","Bagmati","Bhaktapur",409.11672556,361.13,TRUE,0.882706517328727,-9088.1865234375,17450,11884,7.75059940011062,54.1825637817383,1444,1.905614472,140.351369395852,44.3792149429305,11.6361317110319,181,10.6725394637521,181,84.2053363192827,30.3075321535119,0.833618168679625,40
"509","Bhaktapur_Sirutar","Central","Bagmati","Bhaktapur",5.095618369,0,FALSE,0,-6739.095703125,2465,5757,8.51375912370912,37.4869003295898,1333,1.827176558,18.7106366213411,9.24564908533061,0.01403301418107,7,0.01403301418107,7,84.2001461945474,17.3182128233676,0.00842001461945474,1
"510","Bhaktapur_Sudal","Central","Bagmati","Bhaktapur",141.311266478,153.25,TRUE,1,-4021.52734375,6375,8718,7.14037805670675,48.3870334625244,1432,1.869729049,28.0577261466533,12.5031360185983,1.78915711049903,86,1.82563145665675,87,84.1749055720866,24.9384600766994,0.378782596207038,22
"511","Bhaktapur_Tathali","Central","Bagmati","Bhaktapur",197.916291973,49.61,TRUE,0.250661527181238,-13109.7138671875,6944,6848,7.86729336670269,41.3685264587402,1379,1.874768238,112.239827103913,23.9456361742393,6.09393141558599,117,5.91995436708033,114,84.1864543072879,13.0193881500094,0.496690256118402,35
